,path,labels,category
0,https://ukimediaevents.com/img/covers/aiw.jpg, Text Poster Font Advertising Flyer Magazine,automotive
1,https://www.philips.ua/c-dam/b2c/category-pages/lighting/car-lights/master/rebranded/landing/choosebanner_Headlights.jpg, Motor vehicle Automotive design Vehicle Car Luxury vehicle Hood Vehicle door Automotive exterior Headlamp Automotive window part,automotive
2,https://www.synopsys.com/content/dam/synopsys/verification/Veification_SaberAutomotive_spotlight.jpg.imgw.560.336.jpg, Land vehicle Vehicle Car Sports car Automotive design Coup? Performance car Supercar Luxury vehicle Aston martin dbs v12,automotive
3,http://www.rubbernews.com/apps/pbcsi.dll/storyimage/RN/20180924/NEWS/180929978/AR/0/AR-180929978.jpg,,automotive
4,http://www.sio-automotive.com/images/suspension.jpg, Tire Automotive tire Vehicle Automotive design Motor vehicle Car Wheel Vintage car Automotive wheel system Auto part,automotive
5,https://blokt.com/wp-content/uploads/2018/08/shutterstock_747021289.jpg, Land vehicle Vehicle Car Personal luxury car Luxury vehicle Automotive design Performance car Bmw Sports car Rim,automotive
6,http://www.wrenchnation.tv/wp-content/uploads/2017/11/automotive-technology.jpg, Land vehicle Vehicle Car Motor vehicle Mode of transport Steering part Steering wheel Automotive design City car Auto part,automotive
7,https://www.worldatlas.com/r/w728-h425-c728x425/upload/fe/b7/d7/autoindustry-ss.jpg, Robot Machine Industry Motor vehicle Product Engineering Factory Technology Automotive design Vehicle,automotive
8,https://upload.wikimedia.org/wikipedia/commons/5/55/Geely_assembly_line_in_Beilun%2C_Ningbo.JPG, Motor vehicle Vehicle Car Factory Luxury vehicle Industry Automotive design Assembly line Mass production Auto part,automotive
9,http://www.automotiveassociations.com/wp-content/uploads/2018/09/Automotive-Advertising-Agencies-Use-New-World-Technology-to-Teach-Old-World-Phone-Skills-to-Dealers.jpg,,automotive
10,https://1.cms.s81c.com/sites/default/files/2018-05-29/who.jpg, Motor vehicle Automotive design Driving Vehicle Windshield Steering wheel Car Steering part Auto part Automotive window part,automotive
11,https://appwebradar.com/wp-content/uploads/2019/04/Automotive.jpg, Motor vehicle Automotive design Car Vehicle Headlamp Automotive tire Alloy wheel Product Wheel Luxury vehicle,automotive
12,https://mk0mexiconewsdam2uje.kinstacdn.com/wp-content/uploads/2018/08/nafta.jpg, Motor vehicle Automobile repair shop Industry Vehicle Car Machine Auto mechanic Factory Transport Automotive design,automotive
13,https://cdn.omnivirt.com/blog/wp-content/uploads/2018/10/Automotive-Stock-Photo.jpg, Land vehicle Vehicle Car Automotive design White Mid-size car Rim Family car Executive car Sedan,automotive
14,https://www.gurit.com/-/media/Gurit/Images/Key-Visuals/CAROUSEL03AUTO2x.jpg?h=800&la=en&mh=468&mw=1382&w=2360&hash=7B9D1100CEFF56A4307CB0CF8445164E3348A0E4, Land vehicle Vehicle Car Sports car Automotive design Supercar Performance car Bumper Concept car Coup?,automotive
15,https://www.protiviti.com/sites/default/files/united_states/solutionsindustries/automotive.jpg, Engine Auto part Motor vehicle Automotive engine part Vehicle Metal Car Wheel,automotive
16,https://www.recruit4.work/wp-content/uploads/2018/06/automotive.jpg, Vehicle Automotive design Motor vehicle Car Vehicle door Custom car Auto part Mid-size car Engine Hood,automotive
17,"https://dm.henkel-dam.com/is/image/henkel/Header_Exterior_GettyImages-882844302?&wid=900&qlt=70&fit=hfit&align=0,0", Land vehicle Vehicle Car Automotive design Personal luxury car Luxury vehicle Performance car Sports car Supercar Family car,automotive
18,https://www.electricmotorengineering.com/files/2017/11/Components.jpg, Motor vehicle Vehicle Automotive design Car Automotive exterior Auto part Concept car Electric vehicle Illustration Wheel,automotive
19,http://www.bohler.com.ua/images/stage_automotive.jpg, Land vehicle Vehicle Convertible Car Automotive design Personal luxury car Luxury vehicle Rim Wheel Audi,automotive
20,http://www.automotiveassociations.com/wp-content/uploads/2018/09/Automotive-Equipment-and-Tools-Online-Retailers-Offer-the-Best-in-Automotive-Equipment.jpg, Auto part Engine Metal Metalworking Gear Automotive engine part Steel Engineering Wheel Machine,automotive
21,https://openconnectivity.org/wp-content/uploads/2018/10/automotive.jpg, Land vehicle Vehicle Car Motor vehicle Steering wheel Vehicle door Steering part Automotive design Vintage car Center console,automotive
22,https://fourwaysreview.co.za/wp-content/uploads/sites/23/2019/01/29.jpg, Automotive design Luxury vehicle Vehicle door Vehicle Car Design Technology Steering wheel Personal luxury car Driving,automotive
23,https://www.thomsonreuters.com/content/dam/ewp-m/images/thomsonreuters/en/photography/shutterstock-64488445-bw.jpg.transform/rect-768/q90/image.jpg, White Black Black-and-white Mode of transport Monochrome photography Monochrome Light Road Automotive lighting Transport,automotive
24,https://letterhub.com/wp-content/uploads/2018/08/automotive-sector-wp.jpg, Land vehicle Vehicle Car Headlamp Automotive lighting Automotive design Light Luxury vehicle Personal luxury car Executive car,automotive
25,http://avto-ukr.com.ua/wp-content/uploads/2015/11/automotive-banner-01.jpg, Motor vehicle Automotive tire Tire Automotive design Vehicle Car Wheel Transport Rim Mode of transport,automotive
26,https://www.oxts.com//app/uploads/2017/04/automotive-blog-photo.jpg, Light Line Infrastructure Technology Electricity Graphics Graphic design Road Visual effect lighting Neon,automotive
27,"https://www.tesa.com/en-gb/files/images/201608/19/electronics-for-the-automotive-industry,131260_crop16x9_9.jpg", Vehicle Car Steering wheel Technology Driving Multimedia Gadget Electronic device Family car City car,automotive
28,https://www.nexusautomotiveinternational.eu/wp-content/uploads/2018/05/innovation-full-1.jpg, Vehicle door Blue Automotive design Vehicle Car Windshield Electric blue Hood Design Automotive exterior,automotive
29,https://www.tollcoating.com/wp-content/uploads/2015/02/automotive.jpg, Automotive design Vehicle Car Mid-size car Automotive lighting Full-size car Headlamp Executive car Personal luxury car Electric blue,automotive
30,http://www.singularissoftwares.com/img/Automotive%20(1).jpg,,automotive
31,https://www.karmaautomotive.com/_ui/newwebsite/assets/img/_customization/gallery-5.jpg, Red Orange Car Vehicle door Vehicle Hood Auto part Automotive lighting Electric blue Circle,automotive
